index_date,nominal_retail_sales_(index)
2003-01-01,29.8
2003-02-01,29.2
2003-03-01,29.7
2003-04-01,30.6
2003-05-01,31.9
2003-06-01,30
2003-07-01,32.1
2003-08-01,32
2003-09-01,32.2
2003-10-01,34.3
2003-11-01,34
2003-12-01,43.3
2004-01-01,33.4
2004-02-01,31.7
2004-03-01,36.3
2004-04-01,35
2004-05-01,37.1
2004-06-01,36.8
2004-07-01,38.6
2004-08-01,38.6
2004-09-01,38
2004-10-01,39.9
2004-11-01,40.5
2004-12-01,52.2
2005-01-01,39.2
2005-02-01,34.8
2005-03-01,41
2005-04-01,39.6
2005-05-01,40.9
2005-06-01,40.6
2005-07-01,41.1
2005-08-01,42.7
2005-09-01,40.5
2005-10-01,42.3
2005-11-01,43.6
2005-12-01,55.6
2006-01-01,41.9
2006-02-01,37.2
2006-03-01,43.8
2006-04-01,41.2
2006-05-01,45.2
2006-06-01,41.7
2006-07-01,44.3
2006-08-01,46.4
2006-09-01,44.7
2006-10-01,46.8
2006-11-01,47.9
2006-12-01,58.7
2007-01-01,45.9
2007-02-01,41.4
2007-03-01,49.3
2007-04-01,47.4
2007-05-01,51.4
2007-06-01,49.3
2007-07-01,51
2007-08-01,54.6
2007-09-01,51.4
2007-10-01,56
2007-11-01,56.2
2007-12-01,67.1
2008-01-01,54.4
2008-02-01,51
2008-03-01,57.3
2008-04-01,57.2
2008-05-01,60.2
2008-06-01,59.4
2008-07-01,62.6
2008-08-01,61.5
2008-09-01,62.6
2008-10-01,61
2008-11-01,56.9
2008-12-01,70.8
2009-01-01,57.7
2009-02-01,53.2
2009-03-01,62.3
2009-04-01,58.1
2009-05-01,62.7
2009-06-01,65.3
2009-07-01,63.1
2009-08-01,64.7
2009-09-01,67.7
2009-10-01,67.7
2009-11-01,65.8
2009-12-01,81.3
2010-01-01,64.4
2010-02-01,61.5
2010-03-01,77.1
2010-04-01,67.1
2010-05-01,71.2
2010-06-01,69.9
2010-07-01,72.8
2010-08-01,75.3
2010-09-01,74
2010-10-01,77.1
2010-11-01,78.8
2010-12-01,96.4
2011-01-01,73.7
2011-02-01,72.4
2011-03-01,77.7
2011-04-01,77.1
2011-05-01,81.6
2011-06-01,78.1
2011-07-01,80.1
2011-08-01,82
2011-09-01,79.9
2011-10-01,80.7
2011-11-01,83.3
2011-12-01,102.6
2012-01-01,81.6
2012-02-01,76.2
2012-03-01,87.1
2012-04-01,79.9
2012-05-01,86.8
2012-06-01,87.9
2012-07-01,88.5
2012-08-01,95.1
2012-09-01,82.9
2012-10-01,93.3
2012-11-01,91.1
2012-12-01,110.5
2013-01-01,89.9
2013-02-01,80.4
2013-03-01,94.3
2013-04-01,91.3
2013-05-01,95.1
2013-06-01,91.7
2013-07-01,97.1
2013-08-01,99.6
2013-09-01,93.4
2013-10-01,100.5
2013-11-01,101.6
2013-12-01,120.2
2014-01-01,98.8
2014-02-01,91
2014-03-01,93.9
2014-04-01,96.6
2014-05-01,101.5
2014-06-01,91.6
2014-07-01,98.2
2014-08-01,98.6
2014-09-01,97.6
2014-10-01,103.8
2014-11-01,104.7
2014-12-01,123.7
2015-01-01,99.3
2015-02-01,87.1
2015-03-01,98.6
2015-04-01,94.3
2015-05-01,97.2
2015-06-01,94.3
2015-07-01,98.1
2015-08-01,96.3
2015-09-01,93.4
2015-10-01,99.2
2015-11-01,98.9
2015-12-01,120.3
2016-01-01,94
2016-02-01,90
2016-03-01,99.2
2016-04-01,93.8
2016-05-01,95.2
2016-06-01,94.7
2016-07-01,96.2
2016-08-01,97.5
2016-09-01,93.4
2016-10-01,96.6
2016-11-01,100.1
2016-12-01,118.9
2017-01-01,97
2017-02-01,87.9
2017-03-01,98.8
2017-04-01,94.2
2017-05-01,99.8
2017-06-01,98
2017-07-01,99.6
2017-08-01,102.5
2017-09-01,99.8
2017-10-01,101.9
2017-11-01,107.2
2017-12-01,125.2
2018-01-01,103.4
2018-02-01,92.6
2018-03-01,108.1
2018-04-01,102.3
2018-05-01,103.2
2018-06-01,104.6
2018-07-01,105.5
2018-08-01,112.4
2018-09-01,105.4
2018-10-01,112
2018-11-01,117.1
2018-12-01,130.9
2019-01-01,109.4
2019-02-01,102.4
2019-03-01,108.4
2019-04-01,109.9
2019-05-01,114.1
2019-06-01,109
2019-07-01,115.5
2019-08-01,116.6
2019-09-01,111.4
2019-10-01,119.4
2019-11-01,123.7
2019-12-01,140.4
2020-01-01,116.6
2020-02-01,108.7
2020-03-01,105.4
2020-04-01,83.8
2020-05-01,99
2020-06-01,109.1
2020-07-01,121.2
2020-08-01,125.5
2020-09-01,125.9
2020-10-01,135.5
2020-11-01,139.1
2020-12-01,155.9
2021-01-01,124.6
2021-02-01,118.1
2021-03-01,128.6
2021-04-01,129
2021-05-01,139.8
2021-06-01,138
2021-07-01,148.4
2021-08-01,144.3
2021-09-01,139.7
2021-10-01,145.3
2021-11-01,154.5
